Index,SubIndex,ChargerNumber,trainingEVdemand,center,avg_volt
1091,2,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,3,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,4,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,5,2.0,0.0,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,6,2.0,0.0,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,7,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,8,2.0,0.285714285714286,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,9,2.0,0.428571428571429,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,10,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,11,2.0,0.428571428571429,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,12,2.0,0.428571428571429,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,13,2.0,0.285714285714286,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,14,2.0,0.285714285714286,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,15,2.0,0.285714285714286,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,16,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,17,2.0,0.142857142857143,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,18,2.0,0.0,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,19,2.0,0.428571428571429,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,20,2.0,0.714285714285714,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,21,2.0,0.714285714285714,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,22,2.0,0.571428571428571,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,23,2.0,0.428571428571429,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1092,0,6.0,1.71428571428571,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,1,6.0,1.57142857142857,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,2,6.0,1.71428571428571,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,3,6.0,1.14285714285714,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,4,6.0,0.428571428571429,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,5,6.0,0.0,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,6,6.0,0.142857142857143,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,7,6.0,0.857142857142857,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,8,6.0,1.42857142857143,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,9,6.0,1.42857142857143,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,10,6.0,1.14285714285714,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
1092,11,6.0,0.857142857142857,"(-10871997.19592054, 3530628.4032183117)",1.0342523602844744
